,audience_name,size
0,美國空軍預備役司令部,421190
1,緊急醫療服務,29581620
2,聯邦緊急事務管理署,7532150
3,緊急醫療技術員,4642610
4,存款,44353620
5,存款,15399630
6,個人理財,758072810
7,嘉信理財集團,1309770
8,CMoney 理財寶,1265450
9,理財周刊,175960
10,獨立理財顧問,159140
11,投資,385141780
12,投資者,69138640
13,房地產投資,31533658
14,投資銀行業,24425850
15,私人股權投資,17632470
16,風險投資,13664210
17,投資報酬率,8802150
18,投資組合,6933460
19,投資管理,6628470
20,天使投資者,5548670
21,不動產投資信託,3706580
22,黃金投資,3025430
23,外商直接投資,2812080
24,物業投資者,2382924
25,越南投資發展銀行,1920480
26,價值投資,1883860
27,領航投資,865810
28,另類投資市場,503260
29,鑽石投資,479690
30,歐洲投資銀行,344440
31,投資型硬幣,152540
32,聰明的投資者,25840
33,股票,223407550
34,股票市場,44730310
35,馬來西亞股票交易所,1194160
36,股票財經日報,202170
37,舊股票交易中心,181850
38,股票指數期貨,53990
39,儲蓄,7673490
40,儲蓄互助社,15778530
41,俄羅斯聯邦儲蓄銀行,1647950
42,奧克蘭儲蓄銀行,492500
43,免稅儲蓄賬戶,178080
44,貧富差距,3052710
45,退休,33591930
46,退休金,35474710
47,美國退休人員協會,9348700
48,401退休福利計畫,3046600
49,退休保險,539310
50,財產,30197370
51,財產保險,589310
52,財富,206097230
53,富爸爸·窮爸爸,9375440
54,窮鄉僻壤,6561850
55,富爸爸窮爸爸,5850330
56,窮街陋巷,2574370
57,牡蠣窮孩兒三明治,807990
58,利息,19737610
59,退休金,35474710
60,收入,80692850
61,被動收入,12364840
62,無條件基本收入,1180820
63,ETF,1575330
64,ETFs,80
65,財務會計,6650690
66,財務總監,4115020
67,財務報表,2901960
68,財務自由,982770
69,國際財務報告準則,748020
70,財務會計標準委員會,13250
0,分類回收桶,281730
1,現金,40909460
2,現金流量,7653520
3,現金回饋網站,573270
4,SOHO - 100% Design Shop - סוהו,32080
5,麥當勞叔叔之家慈善基金,86257000
6,聯合國兒童基金會,54601330
7,共同基金,26891220
8,基金會（非營利）,23536330
9,世界自然基金會,16001790
10,洛克菲勒基金會,6557720
11,比爾及梅琳達·蓋茨基金會,5402230
12,願望成真基金,4509930
13,美國傳統基金會,4170810
14,開放社會基金會,2621480
15,對沖基金,1785490
16,聯合國人口基金,1746710
17,電子前哨基金會,1546790
18,國家科學基金會,1514520
19,卡達基金會,683630
20,慈濟基金會,517850
21,種子基金,487190
22,惠康基金會,252810
23,福特基金會,236280
24,柯林頓基金會,231260
25,國際雪豹基金會,217930
26,糖尿病攜手基金會,184580
27,指數基金,184300
28,麥克阿瑟基金會,151190
29,卡內基國際和平基金會,107340
30,納斯達克100指數,188403410
31,巴黎CAC40指數,108644200
32,道瓊斯工業平均指數,40862520
33,人類發展指數,40469690
34,富時100指數,29734400
35,德國DAX指數,26376770
36,富時250指數,12867780
37,股價指數,5425740
38,升糖指數,2073340
39,日經平均指數,1802090
40,整體攻擊指數,1634790
41,指數增長,821050
42,標準普爾500指數,328030
43,指數基金,184300
44,恒生指數,172910
45,股票指數期貨,53990
46,胰島素指數,44750
47,採購經理指數,6980
48,教育指數,5950
49,匯率,12357700
50,浮動匯率,269500
51,匯率風險,49520
52,股息,6641320
53,財務自由,982770
54,利率,48824340
55,無風險利率,381660
56,網路銀行,80983080
57,印度國家銀行,38435690
58,投資銀行業,24425850
59,銀行帳戶,23460150
60,零售銀行業務,22123350
61,加拿大豐業銀行,15637540
62,世界銀行,13928160
63,商業銀行,12918070
64,馬來亞銀行,10729250
65,聯昌國際銀行,10628110
66,開泰銀行,10186550
67,富國銀行集團,9066680
68,巴西銀行,8646150
69,伊斯蘭銀行,7840760
70,贊尼特銀行,7444950
71,巴克萊銀行,6497630
72,星展銀行,5592580
73,法國巴黎銀行,5529610
74,盤谷銀行,5459010
75,萊斯銀行,4562380
76,澳盛銀行,4448610
77,軍人銀行,4436990
78,食物銀行,3978680
79,銀行假日,3851160
80,美洲開發銀行,3733250
81,印尼國家銀行,3670550
82,法國農業信貸銀行,3336160
83,加拿大皇家銀行,3173560
84,標準銀行,3013600
85,國民西敏銀行,2718510
86,銀行卡,2556120
87,智利桑坦德銀行,2533040
88,印度儲備銀行,2391290
89,華僑銀行,2327970
90,美國銀行,2309070
91,蒙特婁銀行,2217750
92,澳洲國民銀行,2175350
93,音樂銀行,2156420
94,多倫多道明銀行金融集團,2090510
95,德意志銀行,2005430
96,蘇格蘭銀行,1956380
97,越南投資發展銀行,1920480
98,俄羅斯聯邦儲蓄銀行,1647950
99,道明加拿大信託銀行,1527510
100,AM銀行,1390070
101,北歐銀行,1328480
102,澳洲聯邦銀行,1294230
103,中國工商銀行,1284470
104,愛爾蘭聯合銀行,1067510
105,新韓銀行,1060430
106,義大利聯合聖保羅銀行,998720
107,馬來西亞滙豐銀行,991720
108,荷蘭銀行,981060
109,瑞典銀行,966580
110,義大利國家勞工銀行,957390
111,裕信銀行,943970
112,丹斯克銀行,913260
113,西太平洋銀行,904300
114,加拿大國民銀行,800300
115,中國銀行,797720
116,瓦基弗銀行,776080
117,荷蘭合作銀行,731470
118,伊斯蘭開發銀行,698830
119,泰京銀行,695430
120,英格蘭銀行,661490
121,馬來西亞國家銀行,635530
122,美國大通銀行,624770
123,孟加拉鄉村銀行,581290
124,1111人力銀行,562560
125,鑽石銀行,541840
126,奧克蘭儲蓄銀行,492500
127,西班牙洲際銀行,453350
128,愛爾蘭銀行,438530
129,北岩銀行,376650
130,恒生銀行,370420
131,歐洲投資銀行,344440
132,克萊茲戴爾銀行,321520
133,阿爾斯特銀行,307270
134,西澳銀行,293190
135,518人力銀行,287970
136,非洲開發銀行,287560
137,盛寶銀行,268250
138,墨西哥銀行,234900
139,薩瓦德爾銀行,219020
140,德國郵政銀行,198830
141,國際清算銀行,177290
142,麥格理銀行,170350
143,104人力銀行,153170
144,比利時聯合銀行,131590
145,中華電視公司,2821660
146,中華電信,718620
147,中華電信行動學園,175630
148,麥當勞叔叔之家慈善基金,86257000
149,聯合國兒童基金會,54601330
150,共同基金,26891220
151,基金會（非營利）,23536330
152,世界自然基金會,16001790
153,洛克菲勒基金會,6557720
154,比爾及梅琳達·蓋茨基金會,5402230
155,願望成真基金,4509930
156,美國傳統基金會,4170810
157,開放社會基金會,2621480
158,對沖基金,1785490
159,聯合國人口基金,1746710
160,電子前哨基金會,1546790
161,國家科學基金會,1514520
162,卡達基金會,683630
163,慈濟基金會,517850
164,種子基金,487190
165,惠康基金會,252810
166,福特基金會,236280
167,柯林頓基金會,231260
168,國際雪豹基金會,217930
169,糖尿病攜手基金會,184580
170,指數基金,184300
171,麥克阿瑟基金會,151190
172,卡內基國際和平基金會,107340
0,南亞,501020110
1,網際協議通話技術,88675020
2,教育技術學,57172610
3,生物技術,30466170
4,自動化技術,26312890
5,奈米技術,26248350
6,技術劇場,24887670
7,新興技術,21209130
8,工作流技術,8260080
9,技術員,5990190
10,污染物排放控制技術,5446570
11,技術分析,4774730
12,緊急醫療技術員,4642610
13,技術型高級中等學校,4532610
14,食品技術,2469760
15,生物識別技術,1917610
16,首席技術官,1868780
17,牙體技術師,1590170
18,速霸陸技術國際,1490850
19,低可偵測性技術,1191300
20,國家標準技術研究所,1105130
21,技術與繼續教育學院,1100570
22,先皇技術學院,590040
23,藍牙技術聯盟,509740
24,丹麥技術大學,413570
25,韓國科學技術院,180780
26,法國國立高等工程技術學校,110500
27,明斯特應用技術大學,74740
28,聯合技術公司,65880
29,衛生信息技術,61260
30,奧格斯堡應用技術大學,5670
31,價值,188997210
32,全價值營養,5178520
33,價值投資,1883860
34,NBA最有價值球員,947450
35,客戶生命周期價值,403860
36,國家橄欖球聯盟最有價值球員,183120
37,美國職棒大聯盟最有價值球員獎,130930
38,價值,27256850
39,籌碼,4298080
40,上海市,225636190
41,上海3D方塊,1246510
42,上海迪士尼樂園,907190
43,香港上海大酒店,179000
44,香港上海滙豐銀行,88130
45,上海證券交易所,84700
46,上海大師賽,56630
47,上海灘 (品牌),32910
0,中華電信,718620
1,中華電信行動學園,175630
2,星巴克,155007060
3,廣達電腦,82900
4,貸款,162915250
5,學生貸款,4817990
6,小額貸款,3578310
7,次級貸款,438420
8,房屋凈值貸款,356580
9,公司,450082500
10,產品（公司）,948543120
11,蘋果公司,457536730
12,全國廣播公司,361710080
13,私人公司,294367890
14,華特迪士尼公司,279566080
15,唱片公司,257606100
16,福斯廣播公司,234717240
17,英國廣播公司,177413800
18,Uber（公司）,143429190
19,福特汽車公司,141780880
20,耐吉公司,133741321
21,上市公司,122226690
22,環球電視公司,121312680
23,有限公司,92501460
24,百貨公司,84141770
25,Box公司,82200720
26,映像漫畫公司,79935100
27,百事公司,79436100
28,鈴木公司,78637590
29,新創公司,75268880
30,Converse（鞋業公司）,60367480
31,英國廣播公司國際頻道,56082880
32,ABS-CBN公司,56029080
33,山葉機車公司,51741350
34,3M公司,50131600
35,Target 公司,47569220
36,英國廣播公司第一台,46842650
37,雅詩蘭黛公司,45521460
38,製片公司,40971240
39,強生公司,35495540
40,山葉 (公司),34673600
41,金百利克拉克公司,31484670
42,Orange (公司),30005160
43,蒂芙尼公司,26846860
44,馬魯蒂鈴木公司,26392800
45,低成本航空公司,21612340
46,BMW M公司,20391970
47,公司法,20353370
48,波克夏·哈薩威公司,20284180
49,雅什－拉吉影片公司,20271940
50,英國廣播公司商業分支,19681730
51,英國廣播公司第二台,19576360
52,加拿大廣播公司,14781940
53,美國誠實公司,14278037
54,廣播音樂公司,13750770
55,CBS公司,12394490
56,歐米茄錶公司,12227560
57,英國廣播公司第三台,11026600
58,SAP公司,10529670
59,西門子公司,10326390
60,先鋒公司,9759330
61,甲骨文公司,9748340
62,美国劳氏公司,9600550
63,班傑利公司,9394110
64,合資公司,9313740
65,漢高公司,9157920
66,芬達樂器公司,8972400
67,華納兄弟動畫公司,8624950
68,夢工廠動畫公司,8476940
69,英國廣播公司世界新聞頻道,8357110
70,公司集團,6878640
71,透納廣播公司,6860180
72,哥倫比亞電影公司,6276060
73,吉普森吉他公司,6268570
74,華納兄弟唱片公司,5993700
75,諾華公司,5985200
76,蔡司公司,5797310
77,百代電影公司,5762450
78,淡水河谷公司,5492230
79,丹尼斯公司,5323620
80,太空探索科技公司,5013650
81,沙烏地阿拉伯國家石油公司,4928880
82,公司治理,4922120
83,桂格燕麥公司,4776410
84,挪威廣播公司,4710760
85,西夫韋公司,4605450
86,Bloomingdale's 百貨公司,4286800
87,時代公司,4234480
88,哈德遜灣公司,4073750
89,哈迪斯 (公司),3881990
90,怪獸電力公司,3757240
91,墨西哥石油公司,3661730
92,瑞德數位電影攝影機公司,3419920
93,伊士曼柯達公司,3407710
94,紅帽公司,3249640
95,英國廣播公司美國台,3009450
