audience_name,size
中華電信,718620
中華電信行動學園,175630
星巴克,155007060
廣達電腦,82900
貸款,162915250
學生貸款,4817990
小額貸款,3578310
次級貸款,438420
房屋凈值貸款,356580
公司,450082500
產品（公司）,948543120
蘋果公司,457536730
全國廣播公司,361710080
私人公司,294367890
華特迪士尼公司,279566080
唱片公司,257606100
福斯廣播公司,234717240
英國廣播公司,177413800
Uber（公司）,143429190
福特汽車公司,141780880
耐吉公司,133741321
上市公司,122226690
環球電視公司,121312680
有限公司,92501460
百貨公司,84141770
Box公司,82200720
映像漫畫公司,79935100
百事公司,79436100
鈴木公司,78637590
新創公司,75268880
Converse（鞋業公司）,60367480
英國廣播公司國際頻道,56082880
ABS-CBN公司,56029080
山葉機車公司,51741350
3M公司,50131600
Target 公司,47569220
英國廣播公司第一台,46842650
雅詩蘭黛公司,45521460
製片公司,40971240
強生公司,35495540
山葉 (公司),34673600
金百利克拉克公司,31484670
Orange (公司),30005160
蒂芙尼公司,26846860
馬魯蒂鈴木公司,26392800
低成本航空公司,21612340
BMW M公司,20391970
公司法,20353370
波克夏·哈薩威公司,20284180
雅什－拉吉影片公司,20271940
英國廣播公司商業分支,19681730
英國廣播公司第二台,19576360
加拿大廣播公司,14781940
美國誠實公司,14278037
廣播音樂公司,13750770
CBS公司,12394490
歐米茄錶公司,12227560
英國廣播公司第三台,11026600
SAP公司,10529670
西門子公司,10326390
先鋒公司,9759330
甲骨文公司,9748340
美国劳氏公司,9600550
班傑利公司,9394110
合資公司,9313740
漢高公司,9157920
芬達樂器公司,8972400
華納兄弟動畫公司,8624950
夢工廠動畫公司,8476940
英國廣播公司世界新聞頻道,8357110
公司集團,6878640
透納廣播公司,6860180
哥倫比亞電影公司,6276060
吉普森吉他公司,6268570
華納兄弟唱片公司,5993700
諾華公司,5985200
蔡司公司,5797310
百代電影公司,5762450
淡水河谷公司,5492230
丹尼斯公司,5323620
太空探索科技公司,5013650
沙烏地阿拉伯國家石油公司,4928880
公司治理,4922120
桂格燕麥公司,4776410
挪威廣播公司,4710760
西夫韋公司,4605450
Bloomingdale's 百貨公司,4286800
時代公司,4234480
哈德遜灣公司,4073750
哈迪斯 (公司),3881990
怪獸電力公司,3757240
墨西哥石油公司,3661730
瑞德數位電影攝影機公司,3419920
伊士曼柯達公司,3407710
紅帽公司,3249640
英國廣播公司美國台,3009450
美國哥倫比亞運動服裝公司,2976010
NCR公司,2790040
Square公司,2755280
巴基斯坦廣播公司,2660690
巴黎老佛爺百貨公司,2453410
英國廣播公司第四台,2358410
舒爾公司,2248020
LOMO公司,2234740
公司,195527630
信用卡,466616250
信用卡提現,1232720
債券,8312970
財富,206097230
財富美國500強,9119640
財富管理,8330890
財富世界500強,3299860
財富,7252680
美國國家稅務局,12469450
